id,name,artist,album,release_date,year
3iBgrkexCzVuPy4O9vx7Mf,Glue Song,beabadoobee,Glue Song,2023-02-14,2023
306ediRjbmuizOLWtjDG3Z,At My Worst (feat. Kehlani),Pink Sweat$,PINK PLANET,2021-02-12,2021
14JzyD6FlBD5z0wV5P07YI,when the party's over,Billie Eilish,when the party's over,2018-10-17,2018
0VpEX8ib3wE7u8NOw4szU6,Eyes Off You,PRETTYMUCH,Phases - EP,2019-05-24,2019
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,blue,2024-08-02,2024
7ipqVwkp2MhZv0Ojzqy1NV,lowkey,NIKI,lowkey,2019-04-24,2019
1avbaACTs8QOtkAVD5YIiT,Somewhere Only We Know,Gustixa,Somewhere Only We Know,2020-10-27,2020
5kfNriitmkNE8mUbZ7gbq8,Saturday Nights,Khalid,Suncity,2018-10-18,2018
5Wzc4Qh6nBoWZz2TjRIHYG,2s n 3s,LeoStayTrill,2s n 3s,2024-11-22,2024
5W8HXMOMLtXLz0RGKUtnlZ,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",Skylar Grey,"Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",2021-09-30,2021
5wDeR4q2dm5UAOFSWDEiaR,Frontiers,Awich,Frontiers,2025-01-05,2025
4vAze2mrHQgy44qRuz1rCm,Numb The Pain,Clarx,Numb The Pain,2021-09-28,2021
6bOLRTULQUiXeVnxOIPZVA,Gyal You a Party Animal,Charly Black,Gyal You a Party Animal,2015,2015
4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,2019-12-13,2019
664mVcYRMDsVnOg95R71Ti,Moving,Omah Lay,Moving,2024-08-23,2024
63mdJr3NMY3wReOkNE6c6W,People You Know,Selena Gomez,Rare,2020-01-10,2020
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),2017-04-20,2017
315aBOUD3xtj7sUMXtRgMV,In The Stars,Benson Boone,Fireworks & Rollerblades,2024-04-05,2024
726SEjbF3ToEbYbn43gnxl,Nice To Meet You,Myles Smith,A Minute...,2024-11-08,2024
540k1IRl5UPMhVhpu1LRQ3,Sucker (from the series Arcane League of Legends),Marcus King,Sucker (from the series Arcane League of Legends),2024-11-08,2024
45Egmo7icyopuzJN0oMEdk,Love Lies,Khalid,Love Lies,2018-02-14,2018
6m60IwLIkZ2Fmz4J9FsQ1o,I'll Find You (feat. Tori Kelly),Lecrae,All Things Work Together,2017-09-22,2017
7mFrwc86C3vZKobwpK0jdH,Beautifully,FAVE,Beautifully,2021-05-12,2021
6HZILIRieu8S0iqY8kIKhj,DNA.,Kendrick Lamar,DAMN.,2017-04-14,2017
1WhCAd5sv7rIO78kVgFxIt,Drink Don't Need No Mix (feat. BigXthaPlug),Shaboozey,"Where I've Been, Isn't Where I'm Going",2024-05-31,2024
3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,Numb Little Bug,2022-01-28,2022
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,Stay,2017-02-23,2017
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,2017-01-27,2017
47N81NMkB488fuOwOC3Oip,Nobody - from Kaiju No. 8,OneRepublic,Nobody (from Kaiju No. 8),2024-04-12,2024
0B77RSuNRtbZjWEKUF6XhM,The Reason Why,JP Cooper,SWAY,2021-04-02,2021
